cancellation_id,ride_id,customer_id,driver_id,cancellation_reason,cancellation_time
1,12,242,779,Traffic Issue,18:20:01
2,3530,959,525,Changed Plan,20:13:57
3,7184,1694,917,Rider Late,00:37:14
4,1993,591,556,Traffic Issue,16:05:37
5,3120,645,745,Driver Late,09:34:33
6,8120,1962,314,Wrong Pickup,16:48:03
7,9288,570,408,Traffic Issue,18:13:21
8,1176,651,452,Rider Late,04:23:09
9,9606,1058,848,Wrong Pickup,19:55:11
10,1881,148,408,Rider Late,11:51:56
11,932,1006,621,Wrong Pickup,06:44:53
12,5389,1054,235,Changed Plan,15:21:55
13,5264,351,994,Changed Plan,03:38:55
14,3487,1180,481,Wrong Pickup,15:55:18
15,3655,187,885,Traffic Issue,13:54:25
16,1522,1976,58,Rider Late,01:10:57
17,1702,1133,169,Changed Plan,04:11:23
18,4771,255,677,Wrong Pickup,15:40:27
19,8586,1417,802,Wrong Pickup,01:29:11
20,1897,1408,904,Driver Late,08:44:01
21,3138,230,703,Traffic Issue,17:54:20
22,1731,1825,660,Driver Late,18:05:48
23,7734,621,170,Driver Late,08:15:35
24,3657,1765,168,Driver Late,05:57:04
25,6775,432,317,Traffic Issue,12:02:33
26,8628,19,762,Rider Late,10:22:24
27,8677,44,326,Driver Late,05:15:28
28,198,850,700,Driver Late,10:46:55
29,5842,1818,917,Rider Late,17:53:55
30,687,603,938,Traffic Issue,15:49:39
31,1929,6,728,Traffic Issue,13:41:12
32,6213,1285,596,Wrong Pickup,07:01:25
33,686,69,743,Changed Plan,08:06:34
34,5029,84,158,Driver Late,00:08:59
35,4215,312,765,Wrong Pickup,19:23:51
36,7474,1475,570,Rider Late,10:56:01
37,8023,392,856,Rider Late,09:43:36
38,7065,298,440,Wrong Pickup,01:25:08
39,5,31,700,Changed Plan,23:04:15
40,2675,462,879,Wrong Pickup,10:17:50
41,8225,1723,43,Rider Late,17:54:36
42,7158,1601,982,Rider Late,04:29:07
43,5832,1396,576,Changed Plan,17:18:40
44,7297,785,74,Changed Plan,09:01:30
45,274,1449,89,Traffic Issue,15:33:59
46,54,1680,51,Traffic Issue,06:37:48
47,306,1166,244,Changed Plan,05:33:20
48,1948,900,375,Driver Late,21:33:31
49,6287,1036,518,Wrong Pickup,02:06:54
50,7583,1322,273,Wrong Pickup,06:44:06
51,1167,1700,34,Changed Plan,00:43:56
52,3816,961,239,Traffic Issue,23:39:49
53,9769,488,102,Rider Late,20:16:24
54,3317,631,768,Rider Late,03:21:02
55,9274,550,484,Rider Late,21:47:43
56,370,654,543,Rider Late,18:54:54
57,1921,864,200,Wrong Pickup,03:11:51
58,421,1816,813,Changed Plan,21:54:56
59,2955,1069,117,Wrong Pickup,11:38:36
60,9279,821,512,Changed Plan,20:27:14
61,6007,888,957,Traffic Issue,18:15:02
62,943,1055,725,Driver Late,15:39:18
63,8062,1256,887,Driver Late,12:07:19
64,932,936,868,Driver Late,13:34:26
65,3290,1352,637,Traffic Issue,22:39:53
66,6211,194,743,Driver Late,16:28:32
67,607,841,28,Rider Late,19:13:23
68,8073,676,811,Traffic Issue,10:30:13
69,171,407,333,Changed Plan,20:04:35
70,457,1505,320,Traffic Issue,09:52:04
71,6858,1735,122,Wrong Pickup,18:10:48
72,2432,1197,980,Wrong Pickup,15:39:06
73,8252,44,381,Driver Late,18:41:36
74,3603,1114,951,Traffic Issue,10:21:24
75,5044,1868,92,Changed Plan,01:41:10
76,9675,93,133,Wrong Pickup,12:05:24
77,4652,339,290,Driver Late,17:19:28
78,4846,1868,414,Driver Late,13:54:55
79,1307,1585,777,Driver Late,22:50:00
80,6414,1076,349,Traffic Issue,05:19:25
81,7823,1105,921,Rider Late,18:30:52
82,6328,48,402,Traffic Issue,08:36:16
83,1296,1124,293,Driver Late,03:32:42
84,6120,1847,864,Wrong Pickup,18:43:34
85,6964,394,936,Traffic Issue,16:03:01
86,3946,985,39,Wrong Pickup,23:33:51
87,3156,1334,877,Driver Late,18:21:39
88,9479,385,752,Wrong Pickup,02:33:08
89,7517,98,720,Traffic Issue,22:24:59
90,5893,274,569,Changed Plan,09:41:23
91,7648,421,802,Driver Late,06:21:18
92,6062,1135,430,Traffic Issue,11:54:45
93,6442,716,112,Rider Late,20:24:52
94,7929,1124,413,Traffic Issue,07:06:33
95,653,653,256,Changed Plan,22:11:50
96,555,878,484,Wrong Pickup,13:41:51
