payment_id,ride_id,customer_id,amount_paid,payment_method,transaction_status,transaction_date
1,1785,1602,315.7,Wallet,Failed,2025-02-28
2,9706,1079,264.19,UPI,Success,2025-02-26
3,3996,1649,454.44,Wallet,Success,2025-01-16
4,2012,568,248.38,Cash,Success,2025-02-02
5,6547,936,407.46,Wallet,Success,2025-01-13
6,8157,1421,126.61,Wallet,Failed,2025-03-03
7,2141,694,196.08,Card,Pending,2025-02-12
8,3790,1112,471.43,Card,Success,2025-01-13
9,320,1255,150.22,Card,Success,2025-02-12
10,3610,1611,69.84,Card,Pending,2025-03-03
11,2952,607,215.02,Wallet,Pending,2025-02-22
12,6097,1589,339.53,Card,Failed,2025-01-04
13,765,61,454.65,Cash,Success,2025-02-13
14,1820,841,391.32,Wallet,Pending,2025-01-20
15,2091,1100,477.51,Wallet,Failed,2025-02-16
16,2935,1745,89.47,UPI,Success,2025-01-25
17,4490,1179,216.29,Cash,Success,2025-01-28
18,5277,822,246.42,Wallet,Success,2025-01-08
19,9870,648,89.25,Card,Failed,2025-02-14
20,3118,1947,486.79,UPI,Success,2025-02-20
21,5931,1848,218,Cash,Pending,2025-01-20
22,4126,320,273.62,Cash,Success,2025-02-23
23,4060,1426,343.86,Wallet,Success,2025-02-12
24,6622,1260,54.39,UPI,Success,2025-02-05
25,4006,1143,378.91,Card,Failed,2025-02-23
26,6688,289,276.14,Wallet,Success,2025-02-02
27,7793,1873,259.02,Wallet,Failed,2025-02-08
28,883,1352,215.08,Card,Success,2025-01-21
29,7237,1911,89.43,Cash,Pending,2025-01-19
30,3531,1434,220.84,UPI,Failed,2025-02-25
31,6083,918,383.89,Card,Success,2025-01-13
32,2564,1257,180.68,UPI,Failed,2025-01-24
33,9754,641,310.34,Wallet,Failed,2025-01-27
34,2121,298,455.22,Card,Success,2025-02-17
35,1149,1463,489.87,UPI,Failed,2025-01-01
36,921,455,283.62,UPI,Failed,2025-01-23
37,1609,588,83.08,Card,Pending,2025-02-06
38,4025,1852,194.24,UPI,Failed,2025-01-27
39,9387,1928,451.96,Cash,Failed,2025-01-28
40,7923,921,32.52,Wallet,Failed,2025-02-11
41,8838,1512,34.39,UPI,Failed,2025-02-13
42,5675,1774,391.41,UPI,Failed,2025-02-10
43,8451,1290,242.95,Wallet,Pending,2025-02-21
44,708,1274,202.54,Cash,Failed,2025-02-27
45,6363,409,36.84,Cash,Pending,2025-01-19
46,5191,1377,430.28,Wallet,Pending,2025-01-27
47,9283,1830,185.16,UPI,Success,2025-02-28
48,43,1171,90.58,Cash,Pending,2025-01-27
49,4796,673,385.36,UPI,Failed,2025-02-01
50,1820,1502,233.22,Cash,Pending,2025-01-01
51,4220,975,483.52,Cash,Success,2025-02-26
52,1906,1673,302.04,Cash,Pending,2025-02-23
53,8561,1746,482.06,Card,Success,2025-02-04
54,1122,66,133,UPI,Pending,2025-01-04
55,7123,1270,358.97,Card,Failed,2025-02-25
56,5020,1609,356.12,Card,Pending,2025-02-23
57,4334,1390,160.34,Cash,Failed,2025-02-10
58,3899,1999,188.02,Card,Failed,2025-01-23
59,1857,308,332.36,Card,Failed,2025-01-08
60,4604,1318,341.77,UPI,Success,2025-02-19
61,8591,475,335.36,UPI,Failed,2025-02-09
62,2074,432,451.22,Cash,Failed,2025-02-10
63,187,468,431.49,Cash,Failed,2025-02-21
64,9209,458,110.72,Wallet,Pending,2025-02-20
65,8199,105,72.93,Wallet,Failed,2025-02-18
66,7417,1388,415.56,UPI,Pending,2025-01-30
67,6421,1149,159.85,Wallet,Success,2025-02-01
68,9476,398,332.67,Cash,Success,2025-01-28
69,4771,172,393.82,Cash,Pending,2025-02-21
70,8694,846,120,Cash,Success,2025-02-25
71,3713,136,316.54,UPI,Failed,2025-01-17
72,1321,91,394.05,UPI,Success,2025-01-07
73,2363,1240,79.02,Wallet,Success,2025-01-03
74,6940,837,263.51,UPI,Success,2025-01-31
75,8638,12,105.52,UPI,Success,2025-01-09
76,7116,233,117.74,Wallet,Failed,2025-01-17
77,6098,98,323.24,Card,Success,2025-01-08
78,1131,1750,199.45,UPI,Pending,2025-01-28
79,7882,180,375.94,UPI,Failed,2025-02-12
80,6041,1463,306.83,UPI,Pending,2025-02-21
81,8443,246,68.36,Card,Failed,2025-01-21
82,3028,348,210.53,Cash,Failed,2025-01-30
83,3647,673,70.8,Cash,Pending,2025-01-07
84,3547,432,167.33,Card,Pending,2025-01-11
85,5215,831,415.13,Wallet,Failed,2025-02-11
86,9803,1824,494.61,Cash,Pending,2025-02-13
87,4702,423,401.17,Cash,Success,2025-02-12
88,4638,1765,225.46,Wallet,Failed,2025-02-15
89,2651,267,207.71,Wallet,Success,2025-01-01
90,110,1931,35.5,Card,Failed,2025-01-28
91,8176,616,67.59,Card,Success,2025-02-26
92,985,121,444.99,Wallet,Success,2025-01-05
93,4804,1808,447.44,Wallet,Pending,2025-01-01
94,8343,253,210.39,Wallet,Success,2025-02-24
95,2269,940,382.04,Card,Pending,2025-01-28
96,1936,1680,235.16,Cash,Pending,2025-01-10
97,7999,1799,482.79,Cash,Success,2025-03-03
98,9212,419,296.38,UPI,Success,2025-01-12
99,1667,1771,346.48,Cash,Pending,2025-02-12
100,6627,789,178.67,Card,Success,2025-01-10
101,3333,241,362.54,Cash,Success,2025-01-17
102,9068,1012,312.03,Wallet,Success,2025-02-05
103,3677,1839,220.32,Cash,Success,2025-01-04
104,1212,1468,427.76,Card,Pending,2025-01-28
105,2220,1200,418.09,Cash,Success,2025-01-11
106,3217,334,76.96,UPI,Failed,2025-02-04
107,2730,563,404.24,Card,Success,2025-01-17
108,6529,1438,369.9,Card,Success,2025-02-15
109,9911,1412,162.31,UPI,Pending,2025-02-02
110,4899,1445,337.07,Card,Success,2025-01-22
111,221,1513,376.77,Card,Failed,2025-02-02
112,8455,698,254.27,Cash,Failed,2025-03-02
113,4374,1192,414.74,UPI,Failed,2025-02-09
114,8974,1204,207.27,Wallet,Failed,2025-02-08
115,3533,1448,97.57,UPI,Success,2025-01-28
116,7855,1795,337.32,Card,Success,2025-01-04
117,5198,187,448.72,UPI,Success,2025-01-14
118,8892,378,268.4,UPI,Success,2025-02-14
119,2399,1092,364.21,Wallet,Pending,2025-01-10
120,4114,1580,156.53,Card,Success,2025-02-23
121,5614,284,356.88,Card,Success,2025-01-03
122,9803,535,294.51,Cash,Success,2025-01-18
123,5185,1128,451.75,Wallet,Pending,2025-02-24
124,71,761,104.6,Card,Pending,2025-01-29
125,5837,233,140.51,Wallet,Pending,2025-01-05
126,9460,389,88.32,Cash,Success,2025-03-03
127,6329,987,139.63,Cash,Pending,2025-02-26
128,6245,1004,340.99,Card,Failed,2025-03-02
129,3497,1822,331.48,Cash,Success,2025-02-12
130,4024,1371,464.42,Cash,Success,2025-02-25
131,2826,16,270.54,Cash,Failed,2025-02-24
132,7703,1250,371.03,Card,Failed,2025-02-12
133,6979,465,396.98,Card,Failed,2025-03-03
134,6832,876,198.33,Cash,Failed,2025-02-13
135,3010,1338,386.04,UPI,Success,2025-03-01
136,2573,787,283.5,UPI,Pending,2025-01-12
137,1096,288,311.46,Wallet,Failed,2025-02-16
138,2735,1955,404.11,Card,Pending,2025-02-17
139,5057,807,318.03,Cash,Failed,2025-02-23
140,1630,13,242.18,Card,Success,2025-02-19
141,1535,382,474.97,Cash,Failed,2025-01-04
142,3950,414,32.68,UPI,Failed,2025-01-18
143,1306,1701,450.45,Wallet,Failed,2025-02-01
144,1139,1610,372.58,Wallet,Pending,2025-01-27
145,3442,1977,103.39,UPI,Pending,2025-01-02
146,5610,48,399.47,UPI,Success,2025-01-17
147,9131,240,414.59,UPI,Success,2025-01-07
148,8723,914,425.28,UPI,Success,2025-03-02
149,2290,88,79.06,UPI,Failed,2025-02-10
150,8159,625,492.32,UPI,Pending,2025-01-28
151,3918,582,145.95,Cash,Success,2025-02-02
152,1965,792,339.35,Card,Failed,2025-01-25
153,2213,1841,360.54,Wallet,Failed,2025-01-12
154,5222,357,59.93,Wallet,Success,2025-02-25
155,7484,35,456.26,Cash,Pending,2025-01-16
156,4223,1624,116.34,Wallet,Success,2025-01-28
157,7104,1497,200.14,Card,Failed,2025-01-22
158,7013,547,394.5,Card,Success,2025-02-25
159,7067,1866,241.41,Wallet,Pending,2025-02-09
160,4715,572,240.7,Cash,Failed,2025-01-25
161,3663,173,94.46,Wallet,Failed,2025-01-19
162,7109,1611,100.24,UPI,Success,2025-01-02
163,3480,1296,67.11,Cash,Pending,2025-01-30
164,3228,1903,69.64,Cash,Failed,2025-01-30
165,1909,421,185.35,Wallet,Success,2025-01-02
166,2727,522,78.22,UPI,Pending,2025-02-10
167,9093,1373,360.33,Wallet,Pending,2025-02-17
168,391,929,198.06,Card,Success,2025-01-02
169,3812,1673,463.23,Card,Success,2025-02-28
170,7385,1059,53.92,Card,Pending,2025-02-13
171,4316,922,461.08,UPI,Failed,2025-02-19
172,7022,790,486.79,UPI,Pending,2025-01-30
173,3807,1316,193.03,Wallet,Success,2025-01-10
174,749,816,499.16,UPI,Pending,2025-01-03
175,6543,368,413.54,Cash,Success,2025-01-23
176,1262,1965,243.51,Card,Success,2025-02-08
177,8294,158,473.73,Cash,Pending,2025-02-20
178,1995,739,301.44,Wallet,Pending,2025-01-10
179,8493,684,231.99,Card,Success,2025-01-03
180,1531,989,333.61,Cash,Success,2025-01-13
181,3041,939,493.75,Cash,Pending,2025-02-08
182,8619,472,225.27,Card,Failed,2025-01-03
183,3409,866,112.14,UPI,Success,2025-01-15
184,2733,1684,137.66,Cash,Failed,2025-01-26
185,6842,1783,332.1,UPI,Pending,2025-01-01
186,8752,772,368.82,UPI,Failed,2025-02-23
187,3131,326,293.53,Wallet,Success,2025-02-18
188,8801,680,173.64,UPI,Success,2025-02-22
189,9458,1999,404.4,UPI,Pending,2025-01-31
190,6024,116,294.33,UPI,Pending,2025-01-04
191,1863,649,471.49,Cash,Success,2025-01-30
